Average Perplexity Score: 12.982
<SOS> resumption of the session <EOS>    PP Score = 10.287
<SOS> the european union s structural and cohesion policies are without doubt essential tools for creating the right conditions with a view to tackling and reducing the levels of economic and social disparity between the regions <EOS>    PP Score = 6.658
<SOS> despite the steps taken thus far these levels are still very high and are unacceptably high as regards unemployment <EOS>    PP Score = 6.097
<SOS> these policy objectives can only be achieved through their careful coordination and organisation on the basis of well thought out and sensible guidelines <EOS>    PP Score = 7.073
<SOS> let us not forget that when these policies are effective they also benefit european citizens by directly improving their quality of life <EOS>    PP Score = 4.772
<SOS> let us not forget either that greater consideration should be given to the islands and remote regions of the european union because their geographical location is a hindrance to their economic and social development unless of course the commission is intending to build bridges or underwater tunnels linking them to the european mainland <EOS>    PP Score = 6.714
<SOS> in closing i would like to point out that the structural policies as a whole require greater flexibility so that they can adapt to changing circumstances and thereby respond to the new challenges and opportunities of the new millennium for which we all hope for the best <EOS>    PP Score = 7.854
<SOS> however i feel that we should be a little more concerned about the actual direction and outcome of the community s regional policy <EOS>    PP Score = 10.876
<SOS> the agricultural economy and agricultural regions have been irreparably damaged by the existing regional policy which has had dramatic consequences on employment levels in rural areas and on the living conditions of farmers particularly in the south <EOS>    PP Score = 6.959
<SOS> regional disparities are becoming much more marked within the member states <EOS>    PP Score = 7.592
<SOS> little consideration if any at all has been given to the great problems facing the island regions of the union whose shortcomings as regards infrastrucutres structure transport communication and energy has resulted in their gradual depopulation <EOS>    PP Score = 6.982
